date,weight
2026-03-09,178.6
2026-03-10,177.4
2026-03-12,179.2
2026-03-13,177.8
2026-03-14,178.0
2026-03-26,174.4
2026-03-27,174.8
2026-03-28,173.6
2026-03-29,174.0
